AGI	gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	description
AT3G21370	BGLU19	1765.2	5.6118	0.16301	34.426	1.0292999999999994e-259	1.8518999999999989e-255	full_name=beta glucosidase 19. beta glucosidase 19.
AT5G09530	PELPK1	11799	-2.9934	0.091367	-32.762	2.060799999999999e-235	1.8537999999999995e-231	full_name=Pro-Glu-Leu|Ile|Val-Pro-Lys 1. hydroxyproline-rich glycoprotein family protein. The gene encodes a unique protein which contains 36 repeats of a unique pentapeptide (Pro-Glu-Leu|Ile|Val-Pro-Lys). It has been shown tobe involved in growth and development.
AT2G33070	NSP2	1933	7.3081	0.22477	32.513	6.918999999999996e-232	4.149299999999998e-228	full_name=nitrile specifier protein 2. nitrile specifier protein 2. Encodes a nitrile-specifier protein NSP2. NSP2 is one out of five (At3g16400/NSP1, At2g33070/NSP2, At3g16390/NSP3, At3g16410/NSP4 and At5g48180/NSP5) A. thaliana epithiospecifier protein (ESP) homologues that promote simple nitrile, but not epithionitrile or thiocyanate formation.
AT1G14940		1394.7	6.2197	0.19314	32.202	1.6413999999999994e-227	7.382599999999997e-224	Polyketide cyclase/dehydrase and lipid transport superfamily protein.
AT4G09600	GASA3	3290.9	4.6819	0.15666	29.885	3.0756999999999986e-196	1.1066999999999996e-192	full_name=GAST1 protein homolog 3. GAST1 protein homolog 3. One of GASA gene family which is related to a GA-stimulated transcript (GAST) from tomato.
AT5G44550	CASPL1B1	1644.3	-4.068	0.13774	-29.534	1.0452999999999995e-191	3.134399999999999e-188	Uncharacterized protein family (UPF0497).
AT4G38080		3259.2	-3.3529	0.11766	-28.497	1.2616999999999995e-178	3.2427999999999994e-175	hydroxyproline-rich glycoprotein family protein.
AT2G48140	EDA4	1191.5	-3.3685	0.12064	-27.921	1.4810999999999997e-171	3.3307999999999984e-168	full_name=embryo sac development arrest 4. Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein.
AT4G11310	CP1	812.09	4.3149	0.15657	27.559	3.4665999999999984e-167	6.9297999999999974e-164	Papain family cysteine protease. cysteine proteinase precursor-like protein
AT2G22510		2212.8	-3.3577	0.12336	-27.22	3.7695999999999987e-163	6.781899999999998e-160	hydroxyproline-rich glycoprotein family protein.
AT5G09520	PELPK2	625.12	-4.2594	0.15656	-27.206	5.507399999999998e-163	9.007599999999998e-160	full_name=Pro-Glu-Leu|Ile|Val-Pro-Lys 2. hydroxyproline-rich glycoprotein family protein.
AT4G10340	LHCB5	1556.3	-3.0831	0.11346	-27.174	1.3335999999999996e-162	1.9992999999999994e-159	full_name=light harvesting complex of photosystem II 5. light harvesting complex of photosystem II 5. photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus
AT5G09480		5872.2	-2.5912	0.09537	-27.17	1.4825999999999995e-162	2.0517999999999995e-159	hydroxyproline-rich glycoprotein family protein.
AT3G21380		695.38	6.2985	0.23492	26.811	2.428399999999999e-158	3.120599999999999e-155	Mannose-binding lectin superfamily protein.
AT4G20390	CASPL1B2	923.6	-3.8924	0.14564	-26.726	2.325399999999999e-157	2.789099999999999e-154	Uncharacterized protein family (UPF0497).
AT4G14440	HCD1	748.08	-3.4927	0.1312	-26.621	3.895399999999999e-156	4.3800999999999997e-153	full_name=3-hydroxyacyl-CoA dehydratase 1. 3-hydroxyacyl-CoA dehydratase 1. encodes a cytosolic delta3, delta2-enoyl CoA isomerase, involved in unsaturated fatty acid degradation
AT1G73290	scpl5	997.37	-3.6933	0.13943	-26.489	1.2882999999999995e-154	1.3633999999999997e-151	full_name=serine carboxypeptidase-like 5. serine carboxypeptidase-like 5.
AT2G23540		2187.9	-3.2967	0.1293	-25.496	2.163099999999999e-143	2.1619999999999994e-140	GDSL-like Lipase/Acylhydrolase superfamily protein.
AT5G54270	LHCB3	1317.7	-3.4426	0.13537	-25.432	1.1137999999999995e-142	1.0545999999999998e-139	full_name=light-harvesting chlorophyll B-binding protein 3. light-harvesting chlorophyll B-binding protein 3. Lhcb3 protein is a component of the main light harvesting chlorophyll a/b-protein complex of Photosystem II (LHC II).
AT1G68850		948.37	-3.4918	0.13785	-25.33	1.4764999999999995e-141	1.3281999999999996e-138	Peroxidase superfamily protein.
AT4G36610		1121.2	-2.6373	0.10532	-25.04	2.2684999999999993e-138	1.9434999999999995e-135	alpha/beta-Hydrolases superfamily protein.
AT5G01530	LHCB4.1	1328.4	-2.5435	0.10288	-24.723	6.084199999999998e-135	4.9754999999999986e-132	full_name=light harvesting complex photosystem II. light harvesting complex photosystem II.
AT5G66570	PSBO1	2557.9	-2.3279	0.095358	-24.412	1.2752999999999996e-131	9.975399999999997e-129	full_name=PS II oxygen-evolving complex 1. PS II oxygen-evolving complex 1. Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO1 is the major isoform in the wild-type. In plsp1-1 mutant plastids, the nonmature form of the protein localizes in the membrane.
AT1G08380	PSAO	791.85	-2.9811	0.12313	-24.211	1.6891999999999997e-129	1.2662999999999996e-126	full_name=photosystem I subunit O. photosystem I subunit O. Encodes subunit O of photosystem I.
AT5G39190	GER2	2550.1	-2.7317	0.11656	-23.436	1.8565999999999998e-121	1.3360999999999997e-118	full_name=germin-like protein 2. germin-like protein 2. germin-like protein (GLP2a)
AT2G34870	MEE26	1445.4	-3.2547	0.13895	-23.423	2.4697999999999997e-121	1.7089999999999998e-118	full_name=maternal effect embryo arrest 26. hydroxyproline-rich glycoprotein family protein.
AT1G30700	ATBBE8	515.58	3.787	0.16225	23.34	1.7248e-120	1.1492999999999995e-117	FAD-binding Berberine family protein.
AT1G29930	CAB1	5958	-2.8271	0.12411	-22.779	7.456599999999999e-115	4.7911999999999995e-112	full_name=chlorophyll A/B binding protein 1. chlorophyll A/B binding protein 1. Subunit of light-harvesting complex II (LHCII),which absorbs light and transfers energy to the photosynthetic reaction center.
AT1G01610	GPAT4	620.3	-2.8185	0.12383	-22.761	1.1222999999999998e-114	6.962799999999999e-112	full_name=GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 4. glycerol-3-phosphate acyltransferase 4. bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase. Involved in cutin assembly and is functionally redundant with GPAT8.
AT3G61470	LHCA2	1405.2	-2.3988	0.10599	-22.631	2.1283999999999997e-113	1.2763999999999996e-110	full_name=photosystem I light harvesting complex gene 2. photosystem I light harvesting complex protein. Encodes a component of the light harvesting antenna complex of photosystem I.
AT2G18570		791.92	2.5252	0.11456	22.043	1.1195999999999998e-107	6.497599999999999e-105	UDP-Glycosyltransferase superfamily protein.
AT5G39160		2284.3	-2.6994	0.12297	-21.953	8.139799999999998e-107	4.5763999999999986e-104	RmlC-like cupins superfamily protein.
AT1G28400		3131.4	-2.4537	0.1118	-21.947	9.295499999999998e-107	5.0676999999999984e-104	GATA zinc finger protein.
AT5G12420	WSD7	655.55	-3.5033	0.15971	-21.935	1.1933999999999998e-106	6.314699999999999e-104	O-acyltransferase (WSD1-like) family protein.
AT5G54740	SESA5	64175	2.13	0.098079	21.717	1.4187999999999996e-104	7.293099999999998e-102	full_name=seed storage albumin 5. seed storage albumin 5.
AT1G29920	CAB2	1091	-3.0355	0.13999	-21.683	2.949399999999999e-104	1.4739999999999997e-101	full_name=chlorophyll A/B-binding protein 2. chlorophyll A/B-binding protein 2. Encodes lhcb1.1 a component of the LHCIIb light harvesting complex associated with photosystem II.
AT3G61880	CYP78A9	4632	3.1083	0.1448	21.466	3.241999999999999e-102	1.5763999999999998e-99	full_name=cytochrome p450 78a9. cytochrome p450 78a9. Encodes a cytochrome p450 monooxygenase.  Overexpression of this gene allows fruit growth independently of fertilization.  The gene is normally expressed only in floral organs(during the Arabidopsis stage 14 flower) and in the funiculus at anthesis.
AT5G13580	ABCG6	361.96	-3.5009	0.16343	-21.421	8.486899999999997e-102	4.0180999999999996e-99	full_name=ATP-binding cassette G6. ABC-2 type transporter family protein. Belongs to a clade of five Arabidopsis thaliana ABCG half-transporters that are required for synthesis of an effective suberin barrier in roots and seed coats (ABCG2, ABCG6, and ABCG20) and for synthesis of an intact pollen wall (ABCG1 and ABCG16).
AT5G46110	APE2	1256.5	-2.8807	0.13467	-21.391	1.6046999999999998e-101	7.402699999999998e-99	full_name=ACCLIMATION OF PHOTOSYNTHESIS TO  ENVIRONMENT 2. Glucose-6-phosphate/phosphate translocator-like protein. Encodes a chloroplast triose phosphate / 3-phosphoglycerate translocator that transports triose phosphates derived from the Calvin cycle in the stroma to the cytosol for use in sucrose synthesis and other biosynthetic processes. A tpt mutant has altered acclimation responses.
AT4G02770	PSAD-1	886.18	-2.9888	0.14098	-21.201	9.3903e-100	4.223499999999999e-97	full_name=photosystem I subunit D-1. photosystem I subunit D-1. Encodes a protein predicted by sequence similarity with spinach PsaD to be photosystem I reaction center subunit II (PsaD1)
AT3G56940	CRD1	894.8	-2.554	0.12096	-21.114	5.8727999999999985e-99	2.5769999999999995e-96	full_name=COPPER RESPONSE DEFECT 1. dicarboxylate diiron protein, putative (Crd1). Encodes a putative ZIP protein with varying mRNA accumulation in leaves, stems and roots.  Has a consensus carboxylate-bridged di-iron binding site.
AT2G30570	PSBW	890.94	-2.7746	0.13173	-21.064	1.7119e-98	7.3331999999999985e-96	full_name=photosystem II reaction center W. photosystem II reaction center W. Encodes PsbW, a protein similar to photosystem II reaction center subunit W. Loss of PsbW destabilizes the supramolecular organization of PSII.
