AGI	gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	description
AT5G07190	ATS3	9820.5	-6.1836	0.11219	-55.119	0	0	full_name=seed gene 3. embryo-specific protein 3. Gene is expressed preferentially in the embryo and encodes a unique protein of unknown function.
AT1G75830	LCR67	83644	3.4346	0.083541	41.113	0	0	full_name=low-molecular-weight cysteine-rich 67. low-molecular-weight cysteine-rich 67. Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the plant defensin (PDF) family with the following members: At1g75830/PDF1.1, At5g44420/PDF1.2a, At2g26020/PDF1.2b, At5g44430/PDF1.2c, At2g26010/PDF1.3, At1g19610/PDF1.4, At1g55010/PDF1.5, At2g02120/PDF2.1, At2g02100/PDF2.2, At2g02130/PDF2.3, At1g61070/PDF2.4, At5g63660/PDF2.5, At2g02140/PDF2.6, At5g38330/PDF3.1 and At4g30070/PDF3.2.
AT1G03890		31437	-3.2256	0.083687	-38.544	0	0	RmlC-like cupins superfamily protein.
AT3G60730		1188.4	-6.3224	0.17502	-36.124	9.573499999999994e-286	3.909099999999998e-282	Plant invertase/pectin methylesterase inhibitor superfamily.
AT4G36360	BGAL3	5740.9	-3.2769	0.091319	-35.884	5.4171999999999975e-282	1.769599999999999e-278	full_name=beta-galactosidase 3. beta-galactosidase 3. putative beta-galactosidase (BGAL3 gene)
AT3G61680	PLIP1	1367	-3.7811	0.10596	-35.684	6.934799999999996e-279	1.887799999999999e-275	alpha/beta-Hydrolases superfamily protein.
AT1G03880	CRU2	217910	-2.2422	0.066788	-33.571	4.398699999999997e-247	1.0262999999999996e-243	full_name=cruciferin 2. cruciferin 2. Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds.
AT1G62000	TBA1	4284.2	-7.5708	0.22717	-33.326	1.6173999999999993e-243	3.302199999999998e-240	transmembrane protein.
AT4G04840	MSRB6	1494.6	-4.646	0.14397	-32.271	1.7716999999999992e-228	3.215199999999998e-225	full_name=methionine sulfoxide reductase B6. methionine sulfoxide reductase B6.
AT2G42840	PDF1	4307.7	-7.3024	0.22635	-32.262	2.387199999999999e-228	3.899099999999998e-225	full_name=protodermal factor 1. protodermal factor 1. Encodes a putative extracellular proline-rich protein is exclusively expressed in the L1 layer of vegetative, inflorescence and floral meristems and the protoderm of organ primordia.
AT1G52560	HSP26.5	2966.9	3.4383	0.10803	31.829	2.5872999999999985e-222	3.841599999999998e-219	HSP20-like chaperones superfamily protein.
AT2G02930	GSTF3	1048.4	5.9204	0.18859	31.393	2.487199999999999e-216	3.385199999999998e-213	full_name=glutathione S-transferase F3. glutathione S-transferase F3. Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G15960	NRAMP6	1649.5	-4.3037	0.13729	-31.347	1.0548999999999993e-215	1.3252999999999995e-212	full_name=NRAMP metal ion transporter 6. NRAMP metal ion transporter 6. member of Nramp2 family
AT4G21960	PRXR1	2462.5	-4.4353	0.14234	-31.159	3.771799999999998e-213	4.400299999999998e-210	Peroxidase superfamily protein. Encodes AT4g21960 (AT4g21960/T8O5_170).
AT1G17430		1097.6	-3.3512	0.11518	-29.096	3.9806999999999986e-186	4.334399999999999e-183	alpha/beta-Hydrolases superfamily protein.
AT2G23240	AtMT4b	7865.7	2.9399	0.10332	28.454	4.3205999999999985e-178	4.410599999999999e-175	full_name=Arabidopsis thaliana metallothionein 4b. Plant EC metallothionein-like protein, family 15. AtMT4b is a member of Type 4 metallothionein (MT) genes. It is involved in the early develoment of the embryo and in the accumulation of metal ions especially Zn in the seeds.
AT5G09530	PELPK1	957.29	-5.8228	0.21502	-27.08	1.7067999999999994e-161	1.6397999999999995e-158	full_name=Pro-Glu-Leu|Ile|Val-Pro-Lys 1. hydroxyproline-rich glycoprotein family protein. The gene encodes a unique protein which contains 36 repeats of a unique pentapeptide (Pro-Glu-Leu|Ile|Val-Pro-Lys). It has been shown tobe involved in growth and development.
AT2G38900		1090	-3.8261	0.14172	-26.998	1.5769999999999997e-160	1.4309999999999994e-157	Serine protease inhibitor, potato inhibitor I-type family protein. Predicted to encode a PR (pathogenesis-related) peptide that belongs to the PR-6 proteinase inhibitor family.  Six putative PR-6-type protein encoding genes are found in Arabidopsis: At2g38900, At2g38870, At5g43570, At5g43580, At3g50020 and At3g46860.
AT2G40460		1247.6	-5.4332	0.20587	-26.391	1.7241999999999998e-153	1.4821999999999996e-150	Major facilitator superfamily protein.
AT1G33700		506.15	-5.2221	0.20125	-25.948	1.9139999999999994e-148	1.5629999999999997e-145	Beta-glucosidase, GBA2 type family protein.
AT3G02480	ABR	5804.9	-2.7511	0.10604	-25.943	2.1740999999999995e-148	1.6908999999999994e-145	Late embryogenesis abundant protein (LEA) family protein.
AT5G13170	SAG29	584.64	-5.5425	0.21465	-25.821	5.1801e-147	3.8457999999999986e-144	full_name=senescence-associated gene 29. senescence-associated gene 29. Encodes a member of the SWEET sucrose efflux transporter family proteins.
AT2G38530	LTP2	4017.3	-2.9273	0.11401	-25.676	2.1602999999999993e-145	1.5340999999999995e-142	full_name=lipid transfer protein 2. lipid transfer protein 2. Involved in lipid transfer between membranes. Belongs to a family of Lipid transfer proteins. Sequence similarity to other plant/Arabidopsis LPT genes but highest similarity to LPT1. Stress and pathogen-inducible motifs found in the upstream region. Expressed in flower, leaves and siliques but absent in roots. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.
AT3G61990	OMTF3	657.18	3.5827	0.13957	25.669	2.5951999999999995e-145	1.7660999999999993e-142	full_name=O-MTase family 3 protein. S-adenosyl-L-methionine-dependent methyltransferases superfamily protein. Encodes a protein methyltransferase. Involved in the methylation of plant transmembrane proteins.
AT5G56540	AGP14	733.01	-6.0294	0.23622	-25.525	1.0443999999999996e-143	6.823199999999998e-141	full_name=arabinogalactan protein 14. arabinogalactan protein 14. Encodes arabinogalactan protein (AGP14). Mutants exhibit longer root hairs.
AT2G02120	PDF2.1	21954	-1.7255	0.067632	-25.513	1.4277999999999995e-143	8.969099999999997e-141	Scorpion toxin-like knottin superfamily protein. Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the plant defensin (PDF) family with the following members: At1g75830/PDF1.1, At5g44420/PDF1.2a, At2g26020/PDF1.2b, At5g44430/PDF1.2c, At2g26010/PDF1.3, At1g19610/PDF1.4, At1g55010/PDF1.5, At2g02120/PDF2.1, At2g02100/PDF2.2, At2g02130/PDF2.3, At1g61070/PDF2.4, At5g63660/PDF2.5, At2g02140/PDF2.6, At5g38330/PDF3.1 and At4g30070/PDF3.2.
AT4G39800	MIPS1	2025.7	-2.5735	0.10125	-25.418	1.5794999999999994e-142	9.554899999999998e-140	full_name=D-myo-Inositol 3-Phosphate Synthase 1. myo-inositol-1-phosphate synthase 1. ** Referred to as MIPS2 in Mitsuhashi et al 2008. myo-inositol-1-phosphate synthase isoform 1.Expressed in leaf, root and silique. Immunolocalization experiments with an antibody recognizing MIPS1, MIPS2, and MIPS3 showed endosperm localization.
AT5G11740	AGP15	499.94	-4.8708	0.19675	-24.756	2.677499999999999e-135	1.5617999999999994e-132	full_name=arabinogalactan protein 15. arabinogalactan protein 15. Encodes arabinogalactan protein (AGP15).
AT1G62290	PASPA2	4389.2	-2.6874	0.10893	-24.671	2.1698999999999996e-134	1.2220999999999995e-131	Saposin-like aspartyl protease family protein.
AT5G24950	CYP71A15	1443.4	-2.5914	0.10538	-24.591	1.5617999999999997e-133	8.502799999999998e-131	full_name=cytochrome P450, family 71, subfamily A, polypeptide 15. cytochrome P450, family 71, subfamily A, polypeptide 15. putative cytochrome P450
AT2G25770		444.07	-4.0394	0.16446	-24.561	3.2867999999999993e-133	1.7316999999999994e-130	Polyketide cyclase/dehydrase and lipid transport superfamily protein.
AT1G11170		1444.9	-2.5166	0.10521	-23.919	1.9515999999999993e-126	9.961099999999998e-124	lysine ketoglutarate reductase trans-splicing-like protein (DUF707).
AT4G37050	PLP4	863.07	-3.2648	0.138	-23.659	9.592299999999998e-124	4.7476e-121	full_name=PATATIN-like protein 4. PATATIN-like protein 4. Patatin-related phospholipase A. Expressed in the floral gynaecium and is induced by  abscisic acid (ABA) or phosphate deficiency in roots.
AT3G22120	CWLP	877.23	-4.3422	0.18465	-23.515	2.8404999999999996e-122	1.3644999999999997e-119	full_name=cell wall-plasma membrane linker protein. cell wall-plasma membrane linker protein. cell wall-plasma membrane linker protein homolog (CWLP)
