AGI	gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	description
AT5G49190	SUS2	4371.2	-5.0975	0.11086	-45.983	0	0	full_name=sucrose synthase 2. sucrose synthase 2. Encodes a sucrose synthase (SUS2). The activity of the enzyme could not be assayed as proved to be insoluble (PMID 17257168). However, analyses of an sus2 mutant revealed a deficiency in sucrose synthase activity 12 and 15 days after flowering. There are some reports that SUS2 transcript levels are increased in leaves specifically by O(2) deficiency whereas other reports indicate that SUS2 is expressed only in seeds. Immulocalization shows that SUS2 is present in the cytosol of developing seeds, but, it also associated with plastids, though not located within them.
AT3G21370	BGLU19	19813	3.515	0.10802	32.54	2.869899999999998e-232	2.5007999999999988e-228	full_name=beta glucosidase 19. beta glucosidase 19.
AT3G21380		6199	3.1366	0.099765	31.44	5.764599999999999e-217	3.3488999999999984e-213	Mannose-binding lectin superfamily protein.
AT2G34700		2553	-2.6073	0.092145	-28.296	3.923199999999999e-176	1.7092999999999994e-172	Pollen Ole e 1 allergen and extensin family protein.
AT4G11310	CP1	6341.1	2.9816	0.10619	28.079	1.7551999999999995e-173	6.117999999999998e-170	Papain family cysteine protease. cysteine proteinase precursor-like protein
AT5G57550	XTH25	14694	3.042	0.10908	27.889	3.599199999999999e-171	1.0453999999999996e-167	full_name=xyloglucan endotransglucosylase/hydrolase 25. xyloglucan endotransglucosylase/hydrolase 25. xyloglucan endotransglycosylase-related protein (XTR3)
AT1G67090	RBCS1A	3624.4	-3.1198	0.11526	-27.066	2.4510999999999994e-161	6.102699999999998e-158	full_name=ribulose bisphosphate carboxylase small chain 1A. ribulose bisphosphate carboxylase small chain 1A. Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410). Functions to yield sufficient Rubisco content for leaf photosynthetic capacity.
AT3G12203	scpl17	4509	-2.8656	0.1071	-26.758	1.0053999999999996e-157	2.1902999999999995e-154	full_name=serine carboxypeptidase-like 17. serine carboxypeptidase-like 17.
AT5G66190	FNR1	703.48	-3.4519	0.13332	-25.891	8.365099999999998e-148	1.6198999999999994e-144	full_name=ferredoxin-NADP(+)-oxidoreductase 1. ferredoxin-NADP[+]-oxidoreductase 1. Encodes a leaf-type ferredoxin:NADP(H) oxidoreductase.  It is present in both chloroplast stroma and thylakoid membranes but is more abundant in the thylakoid.  The affinity of this enzyme for ferredoxin is slightly, but significantly, higher than AtLFNR2, an isoform of the same enzyme.  AtLFNR1 forms a heterodimer with AtFNR2 and is also a prerequisite to attach AtFNR2 to the thylakoid membrane.
AT2G34420	LHB1B2	608.92	-4.6381	0.17958	-25.828	4.292299999999999e-147	7.480599999999998e-144	
AT1G29930	CAB1	700.09	-4.9685	0.19627	-25.314	2.2191999999999996e-141	3.516099999999999e-138	full_name=chlorophyll A/B binding protein 1. chlorophyll A/B binding protein 1. Subunit of light-harvesting complex II (LHCII),which absorbs light and transfers energy to the photosynthetic reaction center.
AT4G12800	PSAL	487.82	-4.3793	0.17651	-24.81	6.910999999999998e-136	1.0036999999999998e-132	full_name=photosystem I subunit l. photosystem I subunit l. Encodes subunit L of photosystem I reaction center.
AT1G74470		600.15	-3.6612	0.14843	-24.667	2.4339999999999996e-134	3.262999999999999e-131	Pyridine nucleotide-disulfide oxidoreductase family protein. Encodes for a multifunctional protein with geranylgeranyl reductase activity shown to catalyze the reduction of prenylated geranylgeranyl-chlorophyll a to phytyl-chlorophyll a (chlorophyll a) and free geranylgeranyl pyrophosphate to phytyl pyrophosphate.
AT5G66570	PSBO1	410.75	-4.3589	0.18527	-23.527	2.1751999999999995e-122	2.707899999999999e-119	full_name=PS II oxygen-evolving complex 1. PS II oxygen-evolving complex 1. Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO1 is the major isoform in the wild-type. In plsp1-1 mutant plastids, the nonmature form of the protein localizes in the membrane.
AT1G06680	PSBP-1	426.1	-4.1945	0.17912	-23.418	2.8033999999999996e-121	3.2571999999999993e-118	full_name=photosystem II subunit P-1. photosystem II subunit P-1. Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution. Phosphorylation of this protein is dependent on calcium. In plsp1-1 mutant plastids, the nonmature form of the protein localizes in the stroma.
AT2G03520	UPS4	399.96	4.0373	0.17392	23.213	3.328699999999999e-119	3.625699999999999e-116	full_name=ureide permease 4. ureide permease 4. Encodes AtUPS4, a member of the Arabidopsis ureide permease family.
AT5G06760	LEA4-5	2901.2	2.3731	0.10272	23.103	4.330399999999999e-118	4.439499999999999e-115	full_name=Late Embryogenesis Abundant 4-5. Late Embryogenesis Abundant 4-5. Encodes LEA4-5, a member of the Late Embryogenesis Abundant (LEA) proteins which typically accumulate in response to low water availability conditions imposed during development or by the environment. Most of the diverse set of LEA proteins can be grouped according to properties such as high hydrophilicity and high content of glycine or other small amino acids in what  has been termed hydrophilins.  LEA4-5 protects enzyme activities from the adverse effects induced by freeze-thaw cycles in vitro.
AT1G71691		527.88	-4.1182	0.17878	-23.035	2.096199999999999e-117	2.0295999999999997e-114	GDSL-like Lipase/Acylhydrolase superfamily protein.
AT1G61520	LHCA3	398.67	-4.4489	0.19786	-22.485	5.783899999999999e-112	5.305299999999999e-109	full_name=photosystem I light harvesting complex gene 3. PSI type III chlorophyll a/b-binding protein. PSI type III chlorophyll a/b-binding protein (Lhca3*1)
AT1G55360		1622.1	-2.4253	0.10792	-22.473	7.648299999999999e-112	6.664799999999999e-109	tRNA-splicing ligase (DUF239).
AT1G15820	LHCB6	335.57	-4.634	0.21141	-21.92	1.6892999999999996e-106	1.4019999999999997e-103	full_name=light harvesting complex photosystem II subunit 6. light harvesting complex photosystem II subunit 6. Lhcb6 protein (Lhcb6), light harvesting complex of photosystem II.
AT3G05260		2588.3	2.7709	0.12762	21.712	1.5930999999999995e-104	1.2619999999999998e-101	NAD(P)-binding Rossmann-fold superfamily protein.
AT1G14940		7946.6	2.3967	0.11074	21.642	7.194499999999998e-104	5.451599999999999e-101	Polyketide cyclase/dehydrase and lipid transport superfamily protein.
